id;ifes;area;Nome;Mod;ano base;Nota;Docen;A1;A2;B1;B2;B3;B4;B5;C
12001015012P2;UFAM;INFORMÁTICA;CIÊNCIA DA COMPUTAÇÃO;Acad;2014;5;25;5;4;2;0;1;0;1;1
12001015012P2;UFAM;INFORMÁTICA;CIÊNCIA DA COMPUTAÇÃO;Acad;2015;5;26;5;2;5;1;3;1;0;3
12001015012P2;UFAM;INFORMÁTICA;CIÊNCIA DA COMPUTAÇÃO;Acad;2016;5;24;6;5;7;0;1;0;2;1
12001015013P9;UFAM;BIOTECNOLOGIA;BIOTECNOLOGIA;Acad;2013;4;46;9;9;35;29;19;15;18;15
12001015013P9;UFAM;BIOTECNOLOGIA;BIOTECNOLOGIA;Acad;2014;4;43;5;10;34;22;16;17;11;11
12001015013P9;UFAM;BIOTECNOLOGIA;BIOTECNOLOGIA;Acad;2015;4;40;9;16;23;28;16;18;7;10
12001015013P9;UFAM;BIOTECNOLOGIA;BIOTECNOLOGIA;Acad;2016;4;39;9;21;28;30;10;16;11;13
12001015014P5;UFAM;SOCIEDADE E CULTURA NA AMAZÔNIA;SOCIAIS E HUMANIDADES;Acad;2013;3;37;2;2;7;10;7;6;6;1
12001015014P5;UFAM;SOCIEDADE E CULTURA NA AMAZÔNIA;SOCIAIS E HUMANIDADES;Acad;2014;3;40;1;4;6;10;7;13;11;3
12001015014P5;UFAM;SOCIEDADE E CULTURA NA AMAZÔNIA;SOCIAIS E HUMANIDADES;Acad;2015;3;39;3;0;3;7;2;11;8;0
12001015014P5;UFAM;SOCIEDADE E CULTURA NA AMAZÔNIA;SOCIAIS E HUMANIDADES;Acad;2016;3;39;0;1;6;9;12;9;14;0
12001015015P1;UFAM;MATEMÁTICA;MATEMÁTICA;Acad;2013;4;23;0;4;6;3;0;0;0;1
12001015015P1;UFAM;MATEMÁTICA;MATEMÁTICA;Acad;2014;4;30;4;5;9;3;0;0;1;0
12001015015P1;UFAM;MATEMÁTICA;MATEMÁTICA;Acad;2015;4;29;0;0;6;1;0;0;0;0
12001015015P1;UFAM;MATEMÁTICA;MATEMÁTICA;Acad;2016;4;28;2;2;7;0;0;1;0;0
